
2024/04/01 (17:17:05) | ===> btop++ v.1.3.0
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/04/01 (17:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
